Revenue,Expenses
4643202.311,3204462.883
5028352.264,3175892.114
4779748.996,2874690.279
4857351.703,2812819.527
6045538.208,2554077.049
4478189.442,3076576.961
5937624.847,3277154.742
4893539.322,3381609.543
5747996.993,3130846.188
5645700.104,3053442.691
5907187.244,2851289.327
4128869.76,2710315.239
4714362.937,3041716.845
4643108.508,3225337.567
5534530.462,2990550.604
5399869.454,3096783.307
4751734.454,2978228.791
5166280.467,3236011.641
4490263.414,2950431.19
5086041.479,3151571.368
5758304.242,3171991.909
5170264.864,2873116.759
5244540.016,3380526.412
5107522.693,2772240.052
5011357.865,2730690.707
5079952.875,2828892.633
4201146.641,3155270.646
4527556.481,2725087.823
4618465.404,3404965.597
4384949.818,2675720.183
4785976.564,2894389.31
4873269.225,3283611.403
4699902.372,2315514.256
4725333.469,3025179.468
4775309.963,3202825.807
6106801.77,3223515.237
4256105.807,2783342.891
5221785.661,2568497.383
4957129.884,2875611.816
5288095.142,3164361.678
5004301.424,3510308.776
5139431.969,2628223.613
5012569.237,2990516.544
5285895.544,2705332.023
5265891.102,2893147.624
5060429.836,2963213.927
4932944.228,2472306.924
5113000.283,3561365.447
5768942.011,2699192.08
4615525.885,3804175.095
4457514.131,2898664.196
5215007.363,3054752.062
4071754.151,3373449.32
4713755.75,2211463.484
5189844.583,3234289.824
5315026.905,2828906.294
5011837.026,2911705.559
4835223.411,3281160.909
5584288.252,2733049.187
5534107.763,2629442.347
3936884.455,3435075.529
4813566.714,2721277.267
4945277.577,3169045.756
4711896.758,3239300.625
4628671.224,2884210.111
5174052.173,3225115.398
5265795.508,2706259.798
4688868.87,2864951.867
4616877.816,2942099.467
5213933.772,3107392.485
5479506.822,2683319.988
5134478.404,3264499.184
5636489.156,3340749.584
5474631.447,3126393.008
4970194.423,2659835.77
4401022.488,3035780.727
4641220.706,3100067.681
6044899.111,2638703.286
4055101.051,3009845.637
3905014.993,3092091.573
5038028.017,2635553.783
4186492.49,3089572.517
5023326.591,2873416.696
5647139.423,2689541.834
4965000.576,2819280.153
4620096.051,2994754.55
5404776.615,2653159.102
4694299.326,2793232.264
4809371.209,2754430.579
5824789.86,3067141.159
5098172.26,2843409.329
4206703.249,2763881.274
5851396.942,3340097.312
4601736.072,3298326.207
4873260.585,3022386.742
5536613.274,3405394.569
4826353.526,3351466.462
4905613.398,3067735.476
5946079.29,2744770.508
4617446.816,3558831.99
4817325.875,2775046.647
4403068.999,2800224.548
4899383.121,3047142.403
4855859.953,3344868.3
4554759.682,2699650.487
4626170.766,2651277.37
4604304.924,3135888.29
4359092.003,2393741.273
4590017.92,3115327.374
4965303.933,2836986.048
4725713.838,3625453.559
4920153.003,2958822.786
4746967.472,3175614.052
4352101.598,2746265.995
4820367.047,2928058.495
4843388.435,3011040.886
4690433.064,2990261.341
4247294.027,2766068.605
4582966.179,2797860.29
5694684.342,3298379.617
4409619.497,3207356.241
5550503.072,2667828.694
4749200.744,3181263.662
5025656.407,3117514.292
5573736.667,2715397.649
5152523.345,3480615.782
4534158.518,3365443.949
5221183.867,3351680.255
5774178.898,2456224.667
5434977.127,3393209.958
4479574.101,3267405.806
5267144.494,2661945.378
5592456.827,3108802.836
4846600.081,3163088.855
3748517.229,2752255.156
5395091.886,3204942.296
5809138.39,2788412.32
5090231.679,2993856.058
5458903.7,2895690.095
5106347.355,3113763.647
5182914.45,2916800.941
5071730.556,3018647.836
4915016.608,3380301.31
4350478.391,3070335.782
4863693.173,3363351.192
5527177.308,3097603.679
4463632.099,3272422.112
4798914.461,2734013.644
5973073.881,2409629.394
4920036.523,2516100.45
4303579.832,2579484.645
4294544.934,3166579.18
4643681.215,3207087.82
4654913.554,2869036.989
5007594.435,2952252.614
4384676.82,2867466.253
5314136.872,3120107.455
5188424.569,2773274.023
5172181.735,3335910.522
5535865.988,3135121.83
4552876.384,2715666.664
5256646.748,2763095.084
5163111.401,2928202.628
4774048.643,2930654.149
5264897.799,3192604.685
4599289.226,3837586.218
5476012.386,2921329.081
5072962.955,2798099.012
4592518.812,3105857.284
5162277.164,2766333.349
4987892.813,3041296.689
5278267.722,3548923.201
4692360.602,3106356.793
4534220.172,3144403.356
4790780.274,3314412.131
5547575.258,2979289.853
5429560.253,2912710.221
5488332.168,3349892.236
5890718,3456941.367
5276552.954,2967976.048
5202036.424,3076243.111
4882396.435,2912150.532
4395536.928,3466155.715
5687021.672,3140841.342
6006047.316,2890357.039
5435603.668,2749187.469
5926506.08,2505024.163
5242316.769,3581196.933
5324113.666,2780342.62
5553689.619,2884299.577
4649092.086,2865916.892
5983378.252,2971195.649
4711851.189,3185055.269
5504141.348,2802645.059
4591843.401,3553474.281
4357438.562,2703798.339
4962881.45,2957211.086
4772526.121,2940769.48
4842876.361,3094851.122
4181272.183,2803158.777
4217132.292,3175459.086
5078416.205,3357714.452
4886630.427,3101544.127
5186701.847,3108064.936
5129968.9,3630158.279
4024906.285,2550706.528
4589898.012,2705486.792
5084580.585,3009018.982
5348131.786,3073924.586
5610483.505,2908338.633
5320011.24,2779608.264
5191752.209,3122473.433
4850590.807,2957048.474
4266656.093,2824285.66
4089318.095,3738162.759
5194630.075,2780876.623
4616582.658,2869416.443
4700634.137,2987501.717
4220403.145,2940920.203
4472215.099,3003330.647
5740762.514,3640634.236
4620070.852,3102147.104
5696210.081,3035154.645
5643232.167,2797168.61
5010921.528,2476342.087
5657995.634,2995448.251
4535267.861,3093549.391
4473358.08,3095612.821
4921342.714,3354762.955
5297718.276,2939538.153
5192679.432,3050737.357
4584895.036,2787590.037
5021899.398,3006084.515
4862763.021,2941291.815
4212312.885,2680895.545
5725456.006,3548465.538
4324364.401,2649901.979
5045577.784,3252869.255
4198917.541,3271436.352
5149508.889,3470663.007
4728952.122,2940637.172
5017999.266,3007606.16
4375399.508,2686807.486
5087230.968,3058589.198
5136159.876,2927449.547
5662321.683,3127809.728
5371996.405,3604757.234
5110592.232,2972526.721
4809259.663,2919825.728
4568574.259,3200729.202
4970877.965,2799329.062
5088976.343,3326351.588
5175063.281,3035435.269
5297680.495,3308694.783
5196528.432,3001101.105
4045689.418,3223638.9
4872591.61,2640523.806
5355810.907,2874029.212
5345033.417,3237926.647
4982634.725,2897374.463
5301014.037,3075254.986
5560037.225,3133908.644
4704972.716,3184030.592
4967189.527,2857231.297
5189389.992,2856128.817
4384871.415,2856530.286
3797068.352,2915145.589
4591866.124,3542817.658
4479949.661,2941572.315
4965723.96,3045954.75
4419502.315,3402125.762
3773441.217,2393092.779
5003235.931,2559622.867
5005686.202,2931372.726
4781610.739,2699288.086
5684294.458,2721650.018
5034013.235,3216326.316
4712176.493,2502535.245
4423142.437,3117498.239
3955459.258,3137936.902
5529038.522,3034026.782
4598359.634,2696807.102
5048285.913,3779746.595
5390362.985,3068557.964
4744488.575,2846874.364
6173973.116,2930794.214
5953651.89,3065236.593
5132688.617,3168519.037
4873288.617,2825515.688
5210659.877,2847943.273
4583883.247,2672325.81
5786893.815,3636764.76
3661950.038,2445172.998
5391609.124,2814382.098
4838548.286,3064037.403
5105953.035,3356939.272
4809105.686,2875676.84
4368542.396,2905532.846
4076735.555,3214036.889
5479582.415,3029940.472
4361183.284,2926322.948
4762782.58,2916776.318
4345009.602,2745169.404
5329659.877,3251693.909
4947444.078,3333908.264
5021356.318,2615349.62
5322492.818,3446992.761
5707700.767,2907897.061
5816725.43,3345005.232
5047947.053,3013813.492
4977819.186,2913318.231
5860910.781,2855843.729
5143836.196,2753425.516
4818546.551,3252148.278
5980062.428,3125010.879
5528025.046,3263399.746
5206304.527,3207876.453
5144423.658,2549341.564
5747253.967,2936189.907
5148849.845,2710207.157
5003757.173,3336930.189
4663340.187,3348976.698
5246627.307,2837093.731
4912760.807,3199428.025
4483213.196,3216644.52
5249536.067,3280359.226
5324652.121,3376447.645
5115219.431,3933966.461
4423975.377,3156856.429
5176357.896,2925065.641
5036083.396,3073790.327
5392569.748,2850616.548
5270965.414,3251744.862
4983086.374,3233699.617
5937947.908,2958810.712
5497968.051,2853661.538
5628681.288,2436898.939
4459507.416,2977978.512
5750795.694,2738226.355
5755443.09,3341653.496
4991392.089,2565553.052
5487669.003,2434341.944
4284245.425,2930495.651
4834341.126,3560716.954
4891358.121,3377686.811
4856565.531,3037373.095
5383782.07,3005204.205
5465510.302,3110375.487
4730262.233,2999872.929
5461020.302,2842522.67
5358633.281,3198231.193
4194883.162,2748970.768
5324332.357,2874450.825
5327176.511,3175517.957
5113063.551,3007938.605
5848439.539,3520512.675
5547781.609,2690372.188
5637115.124,3256870.989
5353078.41,3233173.001
4553244.329,3055088.906
5416701.152,2993143.23
4825289.664,2550964.423
4746356.1,3286635.506
5820960.007,3279403.555
5118297.571,2998361.258
5244619.421,2935825.69
4085432.576,3175831.08
4491483.188,2897559.869
5323366.091,2728686.533
4743897.38,3015716.915
4472776.959,3242346.093
4767641.374,2712016.731
4638971.14,3080916.924
5734856.276,3074819.864
5660056.025,2598849.783
5039886.871,3013855.675
5234790.563,2661423.438
5324616.859,2721770.391
5470484.236,3546578.23
5544996.266,3016078.838
5371973.693,2707110.254
3895946.992,2715044.186
4239584.799,2712024.017
4260763.165,2864234.815
5225069.234,2889522.282
4704218.236,3178276.531
5499547.303,3022191.001
5107840.665,2901607.445
3621223.999,2760253.786
4747302.245,3042160.039
4537198.72,2818397.9
4514984.781,3127973.626
4976229.893,2900684.283
4754240.115,3362395.989
5085677.179,2744039.633
4994948.513,2788734.993
